recipe_id,PRR (Hz),PW (us),pos. Delay (us),pos. PW (us),pos. Setpoint (V),rate_A_s,repeat_count
AL120-0077,955.97263239,33.94613515,12.67416987,4.73791443,9.10704369,1.3151446933662412,1
AL120-0078,3876.77262584,60.98026525,8.37499159,34.22411125,9.82064549,1.0950328022492863,1
AL120-0079,4391.70295745,78.1750375,27.57609086,19.97327857,0.87360935,1.241147243258049,1
AL120-0080,4427.48929188,28.26337121,39.91900524,23.98090184,94.93598398,1.5171398891966887,1
AL120-0081,4308.90006386,67.51981591,7.4932106,1.08920034,92.78759696,1.108188428706933,1
AL120-0082,4007.12189032,42.36705757,36.86459192,26.99245177,12.40488412,1.3907868110939292,1
AL120-0083,4862.14696243,30.41824287,8.82147635,20.85673667,80.78363538,1.2135763586410122,1
AL120-0084,524.40833254,87.83239193,6.37678317,19.79574583,44.40163188,1.0344400177069586,1
AL120-0085,4695.2597457,70.81745899,37.99939174,7.04285435,47.38360057,1.268190760464013,1
AL120-0086,3166.39189422,6.08180684,10.09089245,8.14923625,4.87778345,0.5795356725707638,1
AL120-0087,4492.00336309,58.5849075,29.05294016,37.64105123,70.68895316,1.3057572371029829,1
AL120-0088,4883.64410913,13.89341935,16.83295841,37.46543046,97.58604681,1.1838692245339195,1
AL120-0089,597.3920403,9.08113013,37.98971129,19.89810921,18.50455524,0.34360467873981054,1
AL120-0090,3184.70120197,49.57273145,38.30575479,3.74823738,99.93558358,1.3192818698483306,1
AL120-0091,606.73591355,69.42561094,38.3076345,25.95529914,97.17901042,1.2118236819360515,1
AL120-0092,902.19377587,46.56984392,39.72543678,8.39495592,11.95925726,1.1771718287887043,1
AL120-0093,526.95538336,99.41200069,34.69068885,15.42458542,10.07647216,1.110680445248525,1
AL120-0094,1990.68701267,56.7550068,2.41110636,0.05052138,9.8942467,1.3165564903846265,1
AL120-0095,4667.11105173,97.83044121,8.91324656,0.25841072,66.6962212,1.1551161641127135,1
AL120-0096,652.72683371,5.19893165,5.03883744,37.90573962,42.23001748,0.12769631505127704,1
AL120-0097,653.43802143,5.02083026,39.1860597,4.24950536,80.51227042,0.170478624513443,1
AL120-0098,4948.60784849,74.59195395,4.07949329,12.66087737,1.25199193,1.4464438321153374,1
AL120-0099,2488.64721321,38.84296409,1.89225877,8.56306434,82.20751248,1.417559752497282,1
AL120-0100,917.48781968,19.51898351,30.81215935,0.7717311,86.85918869,1.0192306610012,1
AL120-0101,909.27698696,10.89328403,5.85522154,0.12448873,94.99665247,0.6263037764559353,1
AL120-0102,4969.50519877,36.65026945,2.15991507,1.50281984,15.32285428,1.2294772572980368,1
AL120-0103,711.23166289,54.22451922,7.16470394,33.95769376,98.59433714,1.19432848616743,1
AL120-0104,3565.62480889,99.96411092,8.59298708,36.91368632,4.40685581,1.1964588907607492,1
AL120-0105,4637.46175822,18.48643726,38.69268856,1.91809945,87.37734836,1.3540842648323366,1
AL120-0106,664.22065254,56.04104073,5.7659299,23.41321938,6.1024216,1.1340847892792174,1
AL120-0107,560.52619219,70.81271493,4.49399556,31.27340101,5.8308728,1.101962335331168,1
AL120-0108,4854.4913847,58.76286688,39.44148239,26.99111536,20.1132481,1.236402116402122,1
AL120-0109,508.76054727,87.6351438,3.45093246,4.46326248,95.90809783,1.1988508105889697,1
AL120-0110,4832.95456646,25.05397914,2.33110804,39.45962343,95.5699346,1.2753138075313915,1
AL120-0111,4704.55596363,99.2513083,36.23558494,18.53796925,92.37783672,1.0772635072838004,1
AL120-0112,3851.00412415,5.43015239,6.34590169,36.57688741,90.75754965,0.5365457913024889,1
AL120-0113,542.98375733,13.7187287,25.50918583,36.23650555,2.2429008,0.7396965412454956,1
AL120-0114,618.86233976,18.30285649,1.64957508,8.72839622,2.06457749,0.7868868129480696,1
AL120-0115,1811.91169238,85.48906989,1.68721254,33.14086083,5.0625626,1.1534791885608626,1
AL120-0116,988.88039915,60.59329818,39.2461298,9.45656992,97.6785983,1.3175462336490864,1
AL120-0117,627.44470453,29.41479157,35.0356339,0.2508688,52.90771713,1.0917925556766952,1
AL120-0118,4806.60341773,81.75614929,37.49197663,9.59277071,93.67795335,1.0794659355069334,1
AL120-0119,4962.70502778,7.51393007,32.44874515,25.5107864,84.82990004,0.8975494840345247,1
AL120-0120,1810.20176318,99.08132783,35.84611967,36.61036126,98.81305862,1.2813276794853157,1
AL120-0121,4721.68315062,46.90333499,39.93088004,36.28925074,86.16868816,1.428769412627901,1
AL120-0122,4660.85382272,6.13588235,12.93083037,2.5301851,11.14981463,0.6372511589855521,1
AL120-0123,4996.49174605,92.28582766,12.23271875,38.14731937,67.06439536,1.341292618528309,1
AL120-0124,758.56239675,92.19852175,3.34536773,5.07805172,2.3593748,1.3574997095387589,1
AL120-0125,4653.03211147,32.1426745,19.08518741,38.66437715,2.31960546,1.3413969335604639,1
AL120-0126,1699.24898539,97.91520583,3.36456943,1.29464492,88.44855158,1.1796856594756602,1
AL120-0127,1998.21826583,81.99173728,39.79143286,36.33876666,0.32298686,1.272489653670235,1
AL120-0128,996.1972516,72.69163654,39.37018307,2.04859212,45.79869332,1.2210687661116246,1
AL120-0129,3343.13312359,74.5774857,1.52662847,1.15151782,70.72450798,1.2657394464635046,1
AL120-0130,553.53206815,5.05670289,5.51489566,27.01820761,37.55707322,0.08568266666666761,1
AL120-0131,1228.78916794,5.61068518,4.11270232,8.89094684,13.71521093,0.491606008330883,1
AL120-0132,4634.96317575,61.5013699,2.96717706,1.23181839,6.80087125,1.3695984269832733,1
AL120-0133,3059.66956355,33.4860326,1.84085971,39.73125957,45.85811757,1.4136150992095617,1
AL120-0134,3073.18970747,39.53269438,37.25542294,1.74731851,1.86332781,1.2326991797978655,1
AL120-0135,530.54723842,65.67991428,7.96258076,14.44746807,96.13795839,1.094349047767727,1
AL120-0136,2931.32606754,67.39150066,3.43341172,36.01931673,97.55166313,1.2397693912920558,1
AL120-0137,4850.36222031,71.73010588,1.66112108,25.51191226,89.66152221,1.253423922760604,1
AL120-0138,677.83644656,30.97141437,3.95895964,1.42504014,12.49290425,1.1644184401723028,1
AL120-0139,517.48550078,30.32251453,18.55877494,39.89395067,83.41409769,0.8589702747077779,1
AL120-0140,4998.32861079,11.27016064,37.76627642,7.88890615,8.06278801,0.9001093439363729,1
AL120-0141,729.62293727,14.08342867,27.59515721,0.81208095,2.37269141,0.782969978556118,1
AL120-0142,581.39954507,56.75878975,24.41122603,36.90074705,3.22898896,1.1047520283047534,1
AL120-0143,642.72350166,46.6926889,36.38586004,0.26109159,94.11556711,1.1521546198599841,1
AL120-0144,2853.02285198,11.07948633,3.42252235,34.77847196,6.50209961,0.8762561871906478,1
AL120-0145,636.21825213,99.50047438,33.61020321,35.9933738,45.86603865,1.180317398246803,1
AL120-0146,732.31913149,98.8137474,3.31655721,31.98130537,25.14086664,1.281796240766485,1
AL120-0147,4717.49190986,6.23562342,38.69008069,10.42236969,82.80505007,0.7078781024698647,1
AL120-0148,2318.79970944,45.42674089,35.66455569,35.91814443,94.60079586,1.5132754824504724,1
AL120-0149,4956.06845897,5.83182368,33.4810906,8.82689625,0.39201677,0.6375820732630331,1
AL120-0150,3126.53389107,97.28773806,37.4268119,36.99971411,1.98728479,1.4525344882900497,1
AL120-0151,2198.73494795,15.40004076,13.21469849,3.98955159,96.60598263,1.1576340037649955,1
AL120-0152,4126.3725427,60.02245305,39.36267312,34.5887652,98.05101119,1.1650926402470292,1
AL120-0153,4571.76922495,98.40538868,11.63147375,0.12448113,98.80103245,1.1890498320838663,1
AL120-0154,3296.09375726,8.20780243,39.92780637,26.38518184,78.23098777,0.8699298683831214,1
AL120-0155,4791.54197173,17.78196622,7.00605663,37.73795709,1.30399456,1.1536714610143928,1
AL120-0156,1438.23139928,85.04307266,39.83992458,1.64255209,95.59125956,1.197049381872833,1
AL120-0157,3483.45505074,90.4725502,4.43353951,39.10341129,82.39372857,1.280279947686531,1
AL120-0158,541.1762502,37.316873,37.82008006,26.09596953,0.38690381,1.156908046735768,1
AL120-0159,4693.38661665,76.22798761,37.97780659,31.2931307,20.25748342,1.0594209031010184,1
AL120-0160,4852.01598657,39.15530647,39.24818359,37.59008266,73.29229321,1.403456292622429,1
AL120-0161,724.28571014,76.92781483,17.9653196,1.70861453,5.82411373,1.095272318220176,1
AL120-0162,2755.23052132,42.82383282,38.00748267,37.72012983,2.59174015,1.333079790066186,1
AL120-0163,4895.02395084,98.76316313,27.4161015,39.05378893,38.30188047,1.09486729943775,1
AL120-0164,544.35649514,45.48701316,3.24750355,36.53928753,20.22149982,1.2371439663996153,1
AL120-0165,2541.51975131,11.91724169,39.41333115,38.51047568,90.39374562,0.8763657274295646,1
AL120-0166,748.40959022,56.81380134,36.85336088,33.48992597,91.75815126,1.1234975479983427,1
AL120-0167,2320.35886496,68.9432849,2.66013594,31.25634328,5.91804972,1.187519056814727,1
AL120-0168,518.86834297,91.77672332,37.9337312,33.25957097,80.1099211,1.1404216553878284,1
AL120-0169,1871.17869221,55.97154904,6.21251036,37.02784482,93.94595418,1.2652781287225316,1
AL120-0170,2409.49120605,23.08097695,11.34298599,38.26229304,88.29598613,1.2352692416126407,1
AL120-0171,3624.81117481,91.67296784,37.19407734,0.87077506,14.68016915,1.071070763225586,1
AL120-0172,1646.7476273,53.38904937,38.9800517,2.58673489,1.62617322,1.3720056364490487,1
AL120-0173,941.74663583,46.97236192,2.81265408,10.2083914,3.73303154,1.1728568560530113,1
AL120-0174,621.31320825,60.57326552,37.13537005,38.40193033,26.53641496,1.1390134529148077,1
AL120-0175,886.66805206,5.27733593,37.14796713,39.03669879,17.3327948,0.1970020341785489,1
AL120-0176,4969.04418152,84.74128932,8.15534501,6.17547657,89.1985802,1.3031936647209836,1
AL120-0177,602.87538078,99.94967541,8.78535685,4.62651316,24.59897045,1.3080568720379255,1
AL120-0178,2861.17344396,77.388295,5.49478579,0.17988898,17.96258558,1.3236160410845212,1
AL120-0179,4826.04227075,61.56109211,5.16776701,37.57724181,52.41516689,1.2624981991067674,1
AL120-0180,2818.62061284,24.93703504,11.8441162,1.51209205,85.9013021,1.2962538367664027,1
AL120-0181,524.40785058,46.37719157,10.63619644,7.14075569,98.57088551,0.9709426331680644,1
AL120-0182,2715.38626868,7.71252736,5.83794021,38.20107747,98.79744956,0.5886739218057285,1
AL120-0183,576.28255663,90.73322307,30.47073577,32.62173712,4.63660182,1.1534057255676307,1
AL120-0184,546.11129686,98.97184391,11.00721639,17.11608771,99.86616867,1.2018515343734029,1
AL120-0185,569.44274344,7.26439814,15.44534072,0.98784555,2.78146537,0.2447611532794747,1
AL120-0186,4970.53592978,85.89610413,11.3160938,4.90048315,7.78148547,1.265049805110448,1
AL120-0187,3863.94843971,94.49759491,37.19745733,37.9299752,95.47490692,1.3996725631913227,1
AL120-0188,4442.14572851,37.61377452,37.47201948,0.63344661,96.88057462,1.4528257992057938,1
AL120-0189,4903.07436232,73.10996036,37.06891282,2.67121486,97.11563336,1.155801760807211,1
AL120-0190,904.27055163,98.30587694,39.48698301,4.37800426,10.89991368,1.360714285714297,1
AL120-0191,576.30089205,99.67014333,35.89436115,1.44838288,66.41484648,1.2240757012504104,1
AL120-0192,3468.26736908,5.52293441,37.53749102,3.04135811,0.72055142,0.5939104356224317,1
AL120-0193,3062.19253317,59.19997036,2.57174647,3.4738877,20.9191951,1.3647475508666032,1
AL120-0194,4968.8213109,43.94644736,10.59009839,3.08168586,98.16378541,1.2534687455299776,1
AL120-0195,2222.55340405,28.95961614,2.59882956,34.59979106,8.90189139,1.2557589653566543,1
AL120-0196,1835.57557361,21.23657545,39.46792322,2.37504594,19.81199365,1.0819520325956198,1
AL120-0197,4993.78397223,21.18485577,38.80187192,10.85777856,11.53633539,1.0615903162460696,1
AL120-0198,4872.75714846,51.4612302,36.23118685,5.09279121,21.79562747,1.1481166066164525,1
AL120-0199,2978.39035746,68.22706412,38.75662831,0.40573541,73.97019109,1.2587454387489019,1
AL120-0200,845.66185391,16.9758318,7.52577775,37.84503791,88.85170957,0.8737281389458365,1
AL120-0201,4291.82328563,97.83206836,2.88528451,33.00041314,6.719827,1.0514443411224852,1
AL120-0202,2899.49285658,27.12398629,37.78655545,38.65751974,41.92132019,1.576859057987327,1
AL120-0203,4051.41997617,9.57142039,37.54379055,38.87768358,95.57492062,0.8795764221726002,1
AL120-0204,4998.82780341,89.10653827,14.19723831,38.88535451,90.92943352,1.148944539137285,1
AL120-0205,4835.18981049,88.67239696,39.75447401,36.36653505,86.29129753,1.2937659173956482,1
AL120-0206,4842.41711069,73.10994629,38.59603764,0.75120095,0.37423568,1.292334918703694,1
AL120-0207,4965.74632172,96.56704572,17.91835595,5.32023542,13.98255257,1.2547700017898797,1
AL120-0208,530.40577285,26.50072722,37.46244458,29.68510427,26.96333202,1.1038609309063516,1
AL120-0209,1772.9388685,98.76771414,34.95942154,37.02698052,8.39200858,1.0431832385940982,1
AL120-0210,4295.84431928,97.80007062,2.18545976,4.71336834,6.34831814,1.201192556800668,1
AL120-0211,3018.82409677,71.31445243,2.55124696,37.73042485,5.98458862,1.379511196820036,1
AL120-0212,4657.11217048,39.4620863,38.36025916,39.4451651,16.01407789,1.3408507015140725,1
AL120-0213,4858.6124396,80.78182594,7.06432706,34.92093891,15.0439742,1.0986365773389841,1
AL120-0214,4472.44963609,99.87595635,38.39047014,5.81791129,23.19686431,1.2698219043612273,1
AL120-0215,512.99095666,73.49679277,4.05231005,6.0542582,8.03394429,1.2616392072172367,1
AL120-0216,563.25670192,67.84219772,8.51205396,0.9801697,81.17242195,1.1078731944751823,1
AL120-0217,2050.70440657,99.56057094,38.3081988,1.93853166,21.16103629,1.1443309065979006,1
AL120-0218,3416.26880364,83.7940558,36.37809974,38.8546643,8.79050968,1.2244067338246112,1
AL120-0219,500.7409812,33.27257626,10.20134173,39.95701864,11.88406069,1.0371334733852204,1
AL120-0220,944.82488139,7.17446432,37.58209568,2.54521489,2.76140086,0.2938286921387521,1
AL120-0221,3913.56049711,5.78417583,22.15495492,39.78249736,10.31399546,0.786493822335128,1
AL120-0222,4913.29746367,5.29959658,13.78647634,9.85609468,81.71007205,0.6620677049060402,1
AL120-0223,4967.58777974,57.97181296,39.27999364,16.67494815,7.78009249,1.3199276999548233,1
AL120-0224,4380.2255881,56.21809359,1.95734985,10.37139349,97.29739213,1.3430914246302512,1
AL120-0225,1987.99164407,77.28844236,10.72693931,36.02309782,96.87974518,1.220692909139918,1
AL120-0226,4702.79803546,40.22294358,2.15919074,30.87076429,7.04010287,1.2991845811712488,1
AL120-0227,4815.85198874,79.16227555,1.98602612,32.13690694,94.83517241,1.1160878809354957,1
AL120-0228,755.82459895,82.72748747,26.74507995,1.37169778,95.06983003,1.2541255496693564,1
AL120-0229,4855.21885846,98.65110961,37.76402452,39.2620825,88.92398011,1.155192301354557,1
AL120-0230,714.58620531,21.76652067,34.20839174,36.25877697,78.85641633,1.2021773042583783,1
AL120-0231,526.01255756,77.72254041,9.39025621,38.48739631,16.44675899,0.9743214525891241,1
AL120-0232,4885.52047778,24.48752674,7.18671188,7.97622748,1.89504921,1.3112406328060198,1
AL120-0233,4976.3844572,82.60686677,13.68300003,39.34705194,6.14194134,1.0535934353302274,1
AL120-0234,4560.51030057,37.97116941,2.73388217,4.72376984,93.43202114,1.4787458153016497,1
AL120-0235,3317.11801374,33.67655968,3.31851182,39.40645441,96.11493852,1.2053778827913944,1
AL120-0236,4331.4575674,94.61562646,4.51510979,36.8577129,96.65225828,1.0389779767021765,1
AL120-0237,4750.43647736,18.28549678,2.72349141,3.63363631,24.73270334,1.2715158323386437,1
AL120-0238,2869.20428369,38.24373527,7.17707857,1.23340476,1.03660636,1.1800097735787811,1
AL120-0239,4112.16041818,5.36980723,38.67429692,38.4908668,35.93299091,0.5448889022610475,1
AL120-0240,3408.35599788,64.35366578,39.75488108,35.95657319,10.60523065,1.3745343319870331,1
AL120-0241,1236.1164391,98.1490013,1.61239902,37.23696887,10.40950324,1.260585389621713,1
AL120-0242,590.30010784,16.65136816,4.43507027,6.71499643,98.00764052,0.9071201382453506,1
AL120-0243,569.20320541,94.57610457,10.32890806,0.84853582,1.06056295,1.014662296551492,1
AL120-0244,4762.71458669,68.41287713,35.86839982,3.26340549,98.81369444,1.2691544903465672,1
AL120-0245,655.84652359,52.12879185,38.6072656,9.98893794,11.71895834,1.2609803648516436,1
AL120-0246,4411.65615758,99.96083776,1.62083929,36.1867537,93.03013133,1.057128681084572,1
AL120-0247,2762.62272289,75.20740017,2.0503908,5.92108894,99.89429908,1.3572301120395176,1
AL120-0248,4947.87885342,51.20423048,6.84440198,38.04562595,70.49454097,1.275950258921288,1
AL120-0249,2462.34734915,51.28614256,3.12196477,25.56755792,0.66050021,1.2661465106199006,1
AL120-0250,4883.38878797,69.36292506,37.88306697,34.4619086,35.40793797,1.1624751267731757,1
AL120-0251,4879.74755093,11.4352331,5.3237044,37.15715114,36.2898021,1.006066329648314,1
AL120-0252,966.88899677,51.67069673,4.2622451,39.3296745,80.51607525,1.180086664711778,1
AL120-0253,3346.97549278,6.27170424,3.78342666,6.35205004,85.35599606,0.5686448128611009,1
AL120-0254,2657.36071672,44.28408033,2.23278717,2.57538114,98.785384,1.3196792289447434,1
AL120-0255,531.41010506,86.40228285,2.03515856,35.99009488,61.30085802,1.0569292003377557,1
AL120-0256,939.9628914,78.4138891,31.88125528,7.94541281,3.66898431,1.271381936887873,1
AL120-0257,531.25929367,64.60410733,26.35740113,39.11352813,15.70810406,1.2338329472680434,1
AL120-0258,852.83220327,68.84632922,39.03735882,38.73104203,5.44821536,1.1243985372426166,1
AL120-0259,687.76034331,7.0000583,2.43356289,0.85265707,46.96263131,0.3199851582239402,1
AL120-0260,2906.73433477,24.79737155,35.87732116,4.58435461,1.31299961,1.3038770294106559,1
AL120-0261,4753.87429819,5.02918767,29.53802263,32.95375485,91.39916226,0.5211108468125792,1
AL120-0262,818.52977583,23.707076,2.79687041,8.47570963,98.96707153,1.104521821332955,1
AL120-0263,1680.87168783,22.84837617,39.94080779,1.84840426,93.1337473,1.0229150780875111,1
AL120-0264,4876.28521724,70.16622437,2.69524964,36.91452119,40.18923091,1.0924050238414724,1
AL120-0265,953.59676098,74.83925629,39.22917698,2.65730761,98.8518157,1.2930500221337367,1
AL120-0266,4944.19122254,32.85484629,37.5502312,0.8956565,5.63747566,1.3000519249314344,1
AL120-0267,647.59879792,97.8224623,38.26621622,29.38475672,96.93053681,1.118673173142278,1
AL120-0268,1693.97590496,45.071392,5.55927933,38.97741657,92.50450432,1.4177946529925505,1
AL120-0269,4589.48645601,53.60259419,31.54687377,37.00504232,99.52689912,1.1550780992553,1
AL120-0270,606.31334409,9.02842872,35.1561189,32.09995769,88.28587839,0.4308977134835305,1
AL120-0271,2517.9496971,61.46466242,39.84653326,5.70762023,97.91351957,1.2152049922834556,1
AL120-0272,4867.53226398,97.66492159,38.20245209,7.63616279,73.6690714,1.1971311475409376,1
AL120-0273,667.01374575,32.61267898,36.92416488,3.0853314,70.49857313,1.325104265749565,1
AL120-0274,4747.65595701,47.39969893,32.28511681,0.27536787,10.36448982,1.0730094590871928,1
AL120-0275,3444.76018334,89.24260258,36.94268403,0.84999025,1.65533526,1.2446559193239588,1
AL120-0276,4931.68184394,59.12138992,13.4342587,2.63508089,13.04421686,1.3016279153340526,1
AL120-0277,2721.68220114,37.24647912,39.23280101,2.70353276,98.59155649,1.3880206936194934,1
AL120-0278,4170.31487962,6.41962976,2.19879368,4.37152572,7.58754564,0.5912556507658278,1
AL120-0279,1086.42497333,33.58783497,1.87582199,13.60827044,90.62748868,1.2358115254700153,1
AL120-0280,4933.17678152,22.36588132,5.48598359,18.55663832,98.02087015,1.01981321462865,1
AL120-0281,3917.0785998,10.6279853,37.95813277,0.95781915,97.83249572,0.9089640634410412,1
AL120-0282,544.88027608,45.61171338,38.74261237,34.66010671,89.58374057,1.158311480652338,1
AL120-0283,581.67723753,55.65671191,2.0873178,38.59031729,15.32864366,1.0256378309499818,1
AL120-0284,4964.53339327,28.76730876,36.96874078,34.25533302,71.64243236,1.2135356987302135,1
AL120-0285,4888.31867976,62.10189232,14.88019772,0.16699519,89.88426831,1.1131152746904203,1
